experiment_id,dataset,model,beta,phase_label,over_compression_flag,robustness_auc
cifar10_cnn_baseline,cifar10,cnn,0.0,baseline,False,"{""gaussian"": 0.41156, ""salt_pepper"": 0.46342, ""blur"": 0.46624, ""contrast"": 0.66254}"
cifar10_vib_beta_0,cifar10,vib,0.0,under-regularized,False,"{""gaussian"": 0.38622, ""salt_pepper"": 0.43112, ""blur"": 0.47738, ""contrast"": 0.65042}"
cifar10_vib_beta_1em05,cifar10,vib,1e-05,under-regularized,False,"{""gaussian"": 0.40818, ""salt_pepper"": 0.46178, ""blur"": 0.4889, ""contrast"": 0.65252}"
cifar10_vib_beta_3em05,cifar10,vib,3e-05,under-regularized,False,"{""gaussian"": 0.40096, ""salt_pepper"": 0.4444, ""blur"": 0.48534, ""contrast"": 0.64754}"
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,under-regularized,False,"{""gaussian"": 0.4101, ""salt_pepper"": 0.46344, ""blur"": 0.48704, ""contrast"": 0.65952}"
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,useful-compression,False,"{""gaussian"": 0.4057, ""salt_pepper"": 0.45412, ""blur"": 0.46832, ""contrast"": 0.64428}"
cifar10_vib_beta_0_001,cifar10,vib,0.001,useful-compression,False,"{""gaussian"": 0.40566, ""salt_pepper"": 0.45116, ""blur"": 0.47866, ""contrast"": 0.65076}"
cifar10_vib_beta_0_003,cifar10,vib,0.003,useful-compression,False,"{""gaussian"": 0.4008, ""salt_pepper"": 0.46214, ""blur"": 0.47414, ""contrast"": 0.6576}"
cifar10_vib_beta_0_01,cifar10,vib,0.01,useful-compression,False,"{""gaussian"": 0.39708, ""salt_pepper"": 0.4645, ""blur"": 0.47156, ""contrast"": 0.65834}"
cifar10_vib_beta_0_03,cifar10,vib,0.03,useful-compression,False,"{""gaussian"": 0.37144, ""salt_pepper"": 0.42412, ""blur"": 0.47106, ""contrast"": 0.6379}"
cifar10_vib_beta_0_1,cifar10,vib,0.1,useful-compression,False,"{""gaussian"": 0.38836, ""salt_pepper"": 0.4458, ""blur"": 0.45784, ""contrast"": 0.63978}"
cifar10_vib_beta_0_3,cifar10,vib,0.3,unstable,False,"{""gaussian"": 0.34808, ""salt_pepper"": 0.3962, ""blur"": 0.4208, ""contrast"": 0.58926}"
cifar10_vib_beta_1,cifar10,vib,1.0,over-compressed,True,"{""gaussian"": 0.18472, ""salt_pepper"": 0.2002, ""blur"": 0.19318, ""contrast"": 0.24688}"
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,baseline,False,"{""gaussian"": 0.63024, ""salt_pepper"": 0.68588, ""blur"": 0.79232, ""contrast"": 0.71338}"
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,under-regularized,False,"{""gaussian"": 0.59318, ""salt_pepper"": 0.61812, ""blur"": 0.80054, ""contrast"": 0.7196}"
fashion_mnist_vib_beta_1em05,fashion_mnist,vib,1e-05,under-regularized,False,"{""gaussian"": 0.55924, ""salt_pepper"": 0.5773, ""blur"": 0.80672, ""contrast"": 0.72548}"
fashion_mnist_vib_beta_3em05,fashion_mnist,vib,3e-05,useful-compression,False,"{""gaussian"": 0.55022, ""salt_pepper"": 0.57332, ""blur"": 0.80382, ""contrast"": 0.6826}"
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,unstable,False,"{""gaussian"": 0.57798, ""salt_pepper"": 0.5763, ""blur"": 0.7959, ""contrast"": 0.67862}"
fashion_mnist_vib_beta_0_0003,fashion_mnist,vib,0.0003,unstable,False,"{""gaussian"": 0.57468, ""salt_pepper"": 0.58552, ""blur"": 0.78992, ""contrast"": 0.67026}"
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,unstable,False,"{""gaussian"": 0.56076, ""salt_pepper"": 0.5925, ""blur"": 0.78628, ""contrast"": 0.6796}"
fashion_mnist_vib_beta_0_003,fashion_mnist,vib,0.003,useful-compression,False,"{""gaussian"": 0.56778, ""salt_pepper"": 0.61408, ""blur"": 0.78156, ""contrast"": 0.7408}"
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,unstable,False,"{""gaussian"": 0.57656, ""salt_pepper"": 0.6518, ""blur"": 0.78002, ""contrast"": 0.70698}"
fashion_mnist_vib_beta_0_03,fashion_mnist,vib,0.03,unstable,False,"{""gaussian"": 0.52444, ""salt_pepper"": 0.5855, ""blur"": 0.75882, ""contrast"": 0.72552}"
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,unstable,False,"{""gaussian"": 0.5367, ""salt_pepper"": 0.5907, ""blur"": 0.76996, ""contrast"": 0.69058}"
fashion_mnist_vib_beta_0_3,fashion_mnist,vib,0.3,unstable,False,"{""gaussian"": 0.53112, ""salt_pepper"": 0.64062, ""blur"": 0.73908, ""contrast"": 0.65846}"
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,over-compressed,True,"{""gaussian"": 0.34068, ""salt_pepper"": 0.39156, ""blur"": 0.4686, ""contrast"": 0.39152}"
mnist_cnn_baseline,mnist,cnn,0.0,baseline,False,"{""gaussian"": 0.9274, ""salt_pepper"": 0.93934, ""blur"": 0.96858, ""contrast"": 0.984}"
mnist_vib_beta_0,mnist,vib,0.0,under-regularized,False,"{""gaussian"": 0.9394, ""salt_pepper"": 0.93616, ""blur"": 0.97784, ""contrast"": 0.98802}"
mnist_vib_beta_1em05,mnist,vib,1e-05,useful-compression,False,"{""gaussian"": 0.93288, ""salt_pepper"": 0.92562, ""blur"": 0.9765, ""contrast"": 0.98882}"
mnist_vib_beta_3em05,mnist,vib,3e-05,useful-compression,False,"{""gaussian"": 0.92742, ""salt_pepper"": 0.93948, ""blur"": 0.97618, ""contrast"": 0.98988}"
mnist_vib_beta_0_0001,mnist,vib,0.0001,useful-compression,False,"{""gaussian"": 0.92148, ""salt_pepper"": 0.92702, ""blur"": 0.9774, ""contrast"": 0.98946}"
mnist_vib_beta_0_0003,mnist,vib,0.0003,useful-compression,False,"{""gaussian"": 0.90856, ""salt_pepper"": 0.90606, ""blur"": 0.97994, ""contrast"": 0.9869}"
mnist_vib_beta_0_001,mnist,vib,0.001,useful-compression,False,"{""gaussian"": 0.91278, ""salt_pepper"": 0.9281, ""blur"": 0.97336, ""contrast"": 0.9861}"
mnist_vib_beta_0_003,mnist,vib,0.003,unstable,False,"{""gaussian"": 0.90628, ""salt_pepper"": 0.9329, ""blur"": 0.9634, ""contrast"": 0.98802}"
mnist_vib_beta_0_01,mnist,vib,0.01,unstable,False,"{""gaussian"": 0.91642, ""salt_pepper"": 0.94314, ""blur"": 0.94812, ""contrast"": 0.98704}"
mnist_vib_beta_0_03,mnist,vib,0.03,useful-compression,False,"{""gaussian"": 0.91232, ""salt_pepper"": 0.94736, ""blur"": 0.91494, ""contrast"": 0.98646}"
mnist_vib_beta_0_1,mnist,vib,0.1,unstable,False,"{""gaussian"": 0.8444, ""salt_pepper"": 0.8768, ""blur"": 0.93968, ""contrast"": 0.9789}"
mnist_vib_beta_0_3,mnist,vib,0.3,unstable,False,"{""gaussian"": 0.88648, ""salt_pepper"": 0.8745, ""blur"": 0.87408, ""contrast"": 0.98002}"
mnist_vib_beta_1,mnist,vib,1.0,over-compressed,True,"{""gaussian"": 0.41852, ""salt_pepper"": 0.46546, ""blur"": 0.3616, ""contrast"": 0.43172}"
