experiment_id,dataset,model,beta,test_accuracy,average_kl
cifar10_cnn_baseline,cifar10,cnn,0.0,0.702,0.0
cifar10_vib_beta_0,cifar10,vib,0.0,0.6935,184.75419462179835
cifar10_vib_beta_1em05,cifar10,vib,1e-05,0.6959,148.18526719491692
cifar10_vib_beta_3em05,cifar10,vib,3e-05,0.6885,125.82620413092118
cifar10_vib_beta_0_0001,cifar10,vib,0.0001,0.7036,104.50471216515649
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,0.6942,70.40859743915027
cifar10_vib_beta_0_001,cifar10,vib,0.001,0.7013,43.96728206586234
cifar10_vib_beta_0_003,cifar10,vib,0.003,0.7041,25.821760032750383
cifar10_vib_beta_0_01,cifar10,vib,0.01,0.7004,13.940655165080782
cifar10_vib_beta_0_03,cifar10,vib,0.03,0.6931,7.699340530588657
cifar10_vib_beta_0_1,cifar10,vib,0.1,0.6872,3.811210077020186
cifar10_vib_beta_0_3,cifar10,vib,0.3,0.6394,1.5574900002419194
cifar10_vib_beta_1,cifar10,vib,1.0,0.2615,0.001023575136013612
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.905,0.0
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.9153,316.18278484103047
fashion_mnist_vib_beta_1em05,fashion_mnist,vib,1e-05,0.915,184.91766338106953
fashion_mnist_vib_beta_3em05,fashion_mnist,vib,3e-05,0.9157,128.22606581675856
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.9149,80.50877795641935
fashion_mnist_vib_beta_0_0003,fashion_mnist,vib,0.0003,0.9194,49.06248213369635
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.9176,27.796423441247097
fashion_mnist_vib_beta_0_003,fashion_mnist,vib,0.003,0.9198,17.270529722865625
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.9217,11.523412728611428
fashion_mnist_vib_beta_0_03,fashion_mnist,vib,0.03,0.9229,7.533640777008443
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.9186,4.56921578660796
fashion_mnist_vib_beta_0_3,fashion_mnist,vib,0.3,0.9166,2.5022578692134423
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.6014,0.021019225162041338
mnist_cnn_baseline,mnist,cnn,0.0,0.9881,0.0
mnist_vib_beta_0,mnist,vib,0.0,0.9896,872.7278488738627
mnist_vib_beta_1em05,mnist,vib,1e-05,0.9911,287.7304857471321
mnist_vib_beta_3em05,mnist,vib,3e-05,0.9917,141.92046105107175
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.9926,66.67725734469256
mnist_vib_beta_0_0003,mnist,vib,0.0003,0.9915,36.37882971461815
mnist_vib_beta_0_001,mnist,vib,0.001,0.9908,19.13441863241075
mnist_vib_beta_0_003,mnist,vib,0.003,0.9926,11.213977065267443
mnist_vib_beta_0_01,mnist,vib,0.01,0.9936,8.64822987665104
mnist_vib_beta_0_03,mnist,vib,0.03,0.9939,7.0490177794347835
mnist_vib_beta_0_1,mnist,vib,0.1,0.9938,4.7759687689286245
mnist_vib_beta_0_3,mnist,vib,0.3,0.991,2.958589415007
mnist_vib_beta_1,mnist,vib,1.0,0.641,0.04327960420824305
