experiment_id,dataset,model,beta,test_accuracy,train_test_gap,average_kl
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.905,0.028183333333333338,0.0
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.9153,0.031166666666666676,316.18278484103047
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.9149,0.035949999999999926,80.50877795641935
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.9176,0.040650000000000075,27.796423441247097
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.9217,0.03865000000000007,11.523412728611428
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.9186,0.03681666666666672,4.56921578660796
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.6014,0.0076666666666665995,0.021019225162041338
mnist_cnn_baseline,mnist,cnn,0.0,0.9881,0.007600000000000051,0.0
mnist_vib_beta_0,mnist,vib,0.0,0.9896,0.007283333333333308,872.7278488738627
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.9926,0.006299999999999972,66.67725734469256
mnist_vib_beta_0_001,mnist,vib,0.001,0.9908,0.007783333333333364,19.13441863241075
mnist_vib_beta_0_01,mnist,vib,0.01,0.9936,0.00546666666666662,8.64822987665104
mnist_vib_beta_0_1,mnist,vib,0.1,0.9938,0.004883333333333351,4.7759687689286245
mnist_vib_beta_1,mnist,vib,1.0,0.641,0.002650000000000041,0.04327960420824305
