experiment_id,dataset,model,beta,sigma,accuracy
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.0,0.905
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.1,0.8507
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.2,0.6475
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.3,0.4352
fashion_mnist_cnn_baseline,fashion_mnist,cnn,0.0,0.4,0.2881
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.0,0.9153
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.1,0.8707
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.2,0.6087
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.3,0.3401
fashion_mnist_vib_beta_0,fashion_mnist,vib,0.0,0.4,0.2088
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.0,0.9149
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.1,0.8631
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.2,0.5797
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.3,0.3348
fashion_mnist_vib_beta_0_0001,fashion_mnist,vib,0.0001,0.4,0.2082
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.0,0.9176
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.1,0.8502
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.2,0.538
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.3,0.2883
fashion_mnist_vib_beta_0_001,fashion_mnist,vib,0.001,0.4,0.1963
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.0,0.9217
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.1,0.8665
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.2,0.5939
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.3,0.3067
fashion_mnist_vib_beta_0_01,fashion_mnist,vib,0.01,0.4,0.1801
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.0,0.9186
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.1,0.8416
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.2,0.5266
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.3,0.2364
fashion_mnist_vib_beta_0_1,fashion_mnist,vib,0.1,0.4,0.1557
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.0,0.6014
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.1,0.5639
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.2,0.2364
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.3,0.1637
fashion_mnist_vib_beta_1,fashion_mnist,vib,1.0,0.4,0.1388
mnist_cnn_baseline,mnist,cnn,0.0,0.0,0.9881
mnist_cnn_baseline,mnist,cnn,0.0,0.1,0.9862
mnist_cnn_baseline,mnist,cnn,0.0,0.2,0.9774
mnist_cnn_baseline,mnist,cnn,0.0,0.3,0.9324
mnist_cnn_baseline,mnist,cnn,0.0,0.4,0.7558
mnist_vib_beta_0,mnist,vib,0.0,0.0,0.9896
mnist_vib_beta_0,mnist,vib,0.0,0.1,0.9884
mnist_vib_beta_0,mnist,vib,0.0,0.2,0.9816
mnist_vib_beta_0,mnist,vib,0.0,0.3,0.9473
mnist_vib_beta_0,mnist,vib,0.0,0.4,0.7992
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.0,0.9926
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.1,0.991
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.2,0.9846
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.3,0.9166
mnist_vib_beta_0_0001,mnist,vib,0.0001,0.4,0.7225
mnist_vib_beta_0_001,mnist,vib,0.001,0.0,0.9908
mnist_vib_beta_0_001,mnist,vib,0.001,0.1,0.9899
mnist_vib_beta_0_001,mnist,vib,0.001,0.2,0.9839
mnist_vib_beta_0_001,mnist,vib,0.001,0.3,0.918
mnist_vib_beta_0_001,mnist,vib,0.001,0.4,0.6831
mnist_vib_beta_0_01,mnist,vib,0.01,0.0,0.9936
mnist_vib_beta_0_01,mnist,vib,0.01,0.1,0.9922
mnist_vib_beta_0_01,mnist,vib,0.01,0.2,0.9875
mnist_vib_beta_0_01,mnist,vib,0.01,0.3,0.9367
mnist_vib_beta_0_01,mnist,vib,0.01,0.4,0.673
mnist_vib_beta_0_1,mnist,vib,0.1,0.0,0.9938
mnist_vib_beta_0_1,mnist,vib,0.1,0.1,0.9922
mnist_vib_beta_0_1,mnist,vib,0.1,0.2,0.9805
mnist_vib_beta_0_1,mnist,vib,0.1,0.3,0.7925
mnist_vib_beta_0_1,mnist,vib,0.1,0.4,0.4682
mnist_vib_beta_1,mnist,vib,1.0,0.0,0.641
mnist_vib_beta_1,mnist,vib,1.0,0.1,0.5913
mnist_vib_beta_1,mnist,vib,1.0,0.2,0.4576
mnist_vib_beta_1,mnist,vib,1.0,0.3,0.2669
mnist_vib_beta_1,mnist,vib,1.0,0.4,0.1379
